"Id","UserId","Avatar","Author","Content","ReactionsCount","Depth","SubCommentsCount","CommentAt"
"17949370190988606","533868896","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-19/251333152_171145451892398_7956353339487012386_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QEy9zKKG6YjmtEAb8ywQ1lkGawGrcqQ35kZJy1dQG9n7bDPWVh2QwUuhbt7DTSfFgA&_nc_ohc=_4STp8yEPsgQ7kNvwFT-UfZ&_nc_gid=0VRd1si03Lk5QaWqd8rx-Q&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfN4J2O-5jLhXYZa6UBCHISp7-RtCY0Mju87pGibGs_BtA&oe=68576E1B&_nc_sid=f5838a","myfavoriteindulgence","Recipe pls","0","0","1","06/16/2025 9:27 AM"
"18075233395902706","1586224646","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-19/26868234_433149880458103_2281300097205534720_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QEjmnuCMsNyJxkSrzM6s3SN6xrcCoy08WZ2wbHzv2xxUl8wtmt-FO-l5OhHItamfnU&_nc_ohc=ajTQCuLj5sQQ7kNvwF_xoOq&_nc_gid=3yOUUeLPic3FUqhACDF12Q&edm=AFDWGO4BAAAA&ccb=7-5&oh=00_AfOK3-29Fz2lWNP4FBZb5gbY9XI1j3KXkShLi4LjjEWbyg&oe=6857421E&_nc_sid=7b9ede","medicalmedium","-@myfavoriteindulgence Thank you for being here! We sent the link to your DMs as you requested!","0","1","0","06/16/2025 9:27 AM"
"18024994640501825","64294715036","https://scontent-lax3-2.cdninstagram.com/v/t51.2885-19/423471805_1329875938411362_3650608962858841241_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QEy9zKKG6YjmtEAb8ywQ1lkGawGrcqQ35kZJy1dQG9n7bDPWVh2QwUuhbt7DTSfFgA&_nc_ohc=OSwrIzpY9gUQ7kNvwEgSiNd&_nc_gid=0VRd1si03Lk5QaWqd8rx-Q&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfP6LAYWnubmAe7sUvr6VigBZJ_kmOxU4qzkdwL4S8eiOg&oe=68574E23&_nc_sid=f5838a","healingjamesy","❤️❤️❤️❤️❤️❤️❤️","0","0","0","06/16/2025 9:27 AM"
"18085303855735424","13133198790","https://scontent-lax3-2.cdninstagram.com/v/t51.2885-19/288869004_446857927272783_9102691595888693492_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QF8kNuYogBD7jadCk1EZJfrW38uoyKf-P84JTafGe-7o-bb-GGmnTqkIilN5OiUxcg&_nc_ohc=mPC7rcqjcWMQ7kNvwEYQL_l&_nc_gid=HC5znjGolFJvCSIk-hXXbQ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfOVIC0nEmKcXV2NcvyO-qMiHA0xx2WVreq-Y2fW8Lqd-Q&oe=6857738B&_nc_sid=f5838a","agelessnaturalbeautybydee","And if you has some walnuts Fantastic !!","0","0","1","06/16/2025 9:58 AM"
"18082224754754356","59331715575","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-19/342750868_143312675378356_7159229094594805666_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QFLIr9IjbtEOTajIktw7HXpcBYERdekacTxlfhaIt9IfBmr2x-JwczMJS9JfD8jASc&_nc_ohc=ThnXKN8KB6YQ7kNvwHTBknH&_nc_gid=TXsppnrrnbMudCNlg2_LYQ&edm=AFDWGO4BAAAA&ccb=7-5&oh=00_AfNHfjDDMElKOQfrZYxCKQ8fn7NLrgdWMlkSG7t-yJxUmg&oe=68575D1C&_nc_sid=7b9ede","largestpetitionformm","-@agelessnaturalbeautybydee if healing MM recommends leaving the walnuts to later in the day or omitting ❤️","0","1","0","06/16/2025 10:56 PM"
"18059860568236195","28401476223","https://scontent-lax3-2.cdninstagram.com/v/t51.2885-19/269740965_501996444425867_3565231818812603924_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QEy9zKKG6YjmtEAb8ywQ1lkGawGrcqQ35kZJy1dQG9n7bDPWVh2QwUuhbt7DTSfFgA&_nc_ohc=W84xDEdWFi4Q7kNvwE3UdYJ&_nc_gid=0VRd1si03Lk5QaWqd8rx-Q&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfO6FaJB6tTvgBGrQ5sh-r_9AeufBEGi70DqfgRyfTYXTQ&oe=68576C52&_nc_sid=f5838a","medical_medium_en_francais","My favorite quick recipe 😍😍😍","1","0","1","06/16/2025 11:17 AM"
"18154779757373756","1586224646","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-19/26868234_433149880458103_2281300097205534720_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QHasrJjOGrQoVGOfuy43WB6CCJimnr0-DTUsUqizbGFufMnOBRHSdyoq2JCiF1RkjU&_nc_ohc=ajTQCuLj5sQQ7kNvwF_xoOq&_nc_gid=aRIASuzTEgoPqWkkB1_SHQ&edm=AFDWGO4BAAAA&ccb=7-5&oh=00_AfNzCiiUF1mdJdQUanSSuc-u3sOuuwjBn2krU_p0XzY0Ww&oe=6857421E&_nc_sid=7b9ede","medicalmedium","-@medical_medium_en_francais Please check your DMs, we sent you the links!","1","1","0","06/16/2025 11:17 AM"
"17996611634800633","204793195","https://scontent-lax3-2.cdninstagram.com/v/t51.2885-19/11373918_155880614746423_1812194226_a.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QEy9zKKG6YjmtEAb8ywQ1lkGawGrcqQ35kZJy1dQG9n7bDPWVh2QwUuhbt7DTSfFgA&_nc_ohc=andXkICTuEUQ7kNvwHtFWdD&_nc_gid=0VRd1si03Lk5QaWqd8rx-Q&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfPy0Zd3G0pLqYRv7J42I-sCxe_g4KGEK51ASyCByWj2PQ&oe=68576D62&_nc_sid=f5838a","margaretkristoff","Recipe","0","0","1","06/16/2025 11:37 AM"
"17974372097853867","1586224646","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-19/26868234_433149880458103_2281300097205534720_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QHb6lBh3Pg7RP5ry2FOxOxT-fYKOBdKsz_fwNXkIBD4wNpA9OOdExHgMQ84ieMTSnA&_nc_ohc=ajTQCuLj5sQQ7kNvwF_xoOq&_nc_gid=pAfUZwirPU6JNcHAAnZUzQ&edm=AFDWGO4BAAAA&ccb=7-5&oh=00_AfM7dUyzRQdG3TmGRiJGyd4aM-qlQiqLe-hRMB-09qHHEg&oe=6857421E&_nc_sid=7b9ede","medicalmedium","-@margaretkristoff Link has been sent to your DMs! Blessings","0","1","0","06/16/2025 11:37 AM"
"18067278629099442","62832247784","https://scontent-lax3-2.cdninstagram.com/v/t51.2885-19/452012804_1007967194213892_3452483693992314032_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QEy9zKKG6YjmtEAb8ywQ1lkGawGrcqQ35kZJy1dQG9n7bDPWVh2QwUuhbt7DTSfFgA&_nc_ohc=3IXJJku22TUQ7kNvwF6G3N_&_nc_gid=0VRd1si03Lk5QaWqd8rx-Q&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfPMzumTgiS_aBRw1iug7IMzfDMQuNsZqDAg4Zp75Urypw&oe=6857745B&_nc_sid=f5838a","mm.nm.777","✨️💙✨️","0","0","0","06/16/2025 11:37 AM"
