"Id","UserId","Avatar","Author","Content","ReactionsCount","Depth","SubCommentsCount","CommentAt"
"18126625039451713","1586224646","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-19/26868234_433149880458103_2281300097205534720_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QF5vu2P_ShPXvVREFcmwFlKq8RcCax8ES-ACc37CXKtpHgADBl465IqHy34AGVoLcw&_nc_ohc=ajTQCuLj5sQQ7kNvwF_xoOq&_nc_gid=-gT0DPCtWpwvGq6zSOnjqA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfMLtbdpljIRubnp3OOlVgrbqe38iFE2zZO24j4rX55fRA&oe=6857421E&_nc_sid=f5838a","medicalmedium","#nettleleaf #nettles #nettle #adrenalfatigue #heavymetaldetoxsmoothie #detoxsmoothie #hmds #heavymetaldetoxcleanse #healing #healinginspiration #inspiration #inspirational #heal #chronicillness #chronicallyill #foodismedicine #lifechangingfoods #thyroidhealing #liverrescue #cleansetoheal #celeryjuice #celeryjuicebenefits #celeryjuiceheals #celery #brainsaver #brainsaverprotocols #medicalmediumcommunity #medicalmedium","3","0","0","06/17/2025 4:59 AM"
"17854959501453338","1176377612","https://scontent-lax3-2.cdninstagram.com/v/t51.2885-19/224598176_875529209743159_6073842269550333180_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QF5vu2P_ShPXvVREFcmwFlKq8RcCax8ES-ACc37CXKtpHgADBl465IqHy34AGVoLcw&_nc_ohc=xdoT0utPbagQ7kNvwG0MkoB&_nc_gid=-gT0DPCtWpwvGq6zSOnjqA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfMwBpkUCjnh_I_wmRHuINMW1uqVn2X50zjKZ6IFRe-inw&oe=68575C83&_nc_sid=f5838a","nia_s_kramer","Ohhhhhhhhhhhhhhh 😮😮😮","1","0","0","06/17/2025 5:00 AM"
"17885555094302742","235309041","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-19/28432856_151080588872753_1940532315289550848_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QF5vu2P_ShPXvVREFcmwFlKq8RcCax8ES-ACc37CXKtpHgADBl465IqHy34AGVoLcw&_nc_ohc=EFO6RksyuwAQ7kNvwFTUPIV&_nc_gid=-gT0DPCtWpwvGq6zSOnjqA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfM79JlevgRQjmYOvRfQf7lwmMRPA69PR0cu9DsfgSdBAg&oe=68575714&_nc_sid=f5838a","lemonbalmlove","I’m so blessed to have an abundance of wild nettle growing in my garden. 💚","10","0","1","06/17/2025 5:00 AM"
"18063665954162909","28142149","https://scontent-lax3-2.cdninstagram.com/v/t51.2885-19/480728867_939568308334643_4304047620197933770_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QF0dkQwlS4khVbjYp2yYkBP2v7jepgd6UDv4C19PTgGS_pvN2epMrN4pwT6YzyDC_Q&_nc_ohc=Ibx2hEHsw-UQ7kNvwEDNiNR&_nc_gid=9XRK65yPEXeDP_kgnvb6-g&edm=AFDWGO4BAAAA&ccb=7-5&oh=00_AfMJ3xnvZiXvE0UmZhmcmeU8PRbMkA5vjG5tkvpPVxof4A&oe=6857739C&_nc_sid=7b9ede","thatwholefoodgirl","-@lemonbalmlove do you order online","0","1","0","06/17/2025 6:16 AM"
"17857982235441254","1404907903","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-19/305347525_390262059764734_189830156707160723_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QF5vu2P_ShPXvVREFcmwFlKq8RcCax8ES-ACc37CXKtpHgADBl465IqHy34AGVoLcw&_nc_ohc=4ZLbH-0M-EkQ7kNvwEOXC2I&_nc_gid=-gT0DPCtWpwvGq6zSOnjqA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfOCnYBcSTY6fxiUN80T6WMVynNPIc7XD4kvpbwvFqsV4A&oe=68575DCE&_nc_sid=f5838a","chilispicegirl","💚💚💚","1","0","0","06/17/2025 5:05 AM"
"18066121387890695","10618758455","https://scontent-lax3-2.cdninstagram.com/v/t51.2885-19/57128454_602863096846643_2530658120225521664_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QF5vu2P_ShPXvVREFcmwFlKq8RcCax8ES-ACc37CXKtpHgADBl465IqHy34AGVoLcw&_nc_ohc=TEQTrCLfPFEQ7kNvwEvO4xU&_nc_gid=-gT0DPCtWpwvGq6zSOnjqA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfOck57UqsxWIIja2JJsYeMWudzTblZwaX0mhWgblfITZQ&oe=6857502A&_nc_sid=f5838a","nidacetinsahin","I can not reach your from Türkiye, can someone please tell me how we consume nettle leaf?","1","0","2","06/17/2025 5:05 AM"
"18081473848762875","216964662","https://scontent-lax3-2.cdninstagram.com/v/t51.2885-19/461778464_1192181962046443_679933863402362407_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QEhTCe8RpI0Hxd_wVQXeHY_hSQtHbtTB_f1iM4f5IjFzatJruE_aKIQ-dH2a2x3-WA&_nc_ohc=VlMjjUmsXOoQ7kNvwGSeh6r&_nc_gid=yUr4-cUDxvfA8QIJlQ7RKA&edm=AFDWGO4BAAAA&ccb=7-5&oh=00_AfP9-NbkilmhtyZLWriZc5n90aI9LCKBiSYgtxYXtkEnXw&oe=68576E1D&_nc_sid=7b9ede","sunkissedlen","-@nidacetinsahin nettle tea or Vimergy’s nettle tincture","2","1","0","06/17/2025 7:17 AM"
"17862721932353605","10618758455","https://scontent-lax3-2.cdninstagram.com/v/t51.2885-19/57128454_602863096846643_2530658120225521664_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QEhTCe8RpI0Hxd_wVQXeHY_hSQtHbtTB_f1iM4f5IjFzatJruE_aKIQ-dH2a2x3-WA&_nc_ohc=TEQTrCLfPFEQ7kNvwEvO4xU&_nc_gid=yUr4-cUDxvfA8QIJlQ7RKA&edm=AFDWGO4BAAAA&ccb=7-5&oh=00_AfPOQPpkON1O9hgWmymmVl2ykhwpeHGdpfRC04Y5K6O_VA&oe=6857502A&_nc_sid=7b9ede","nidacetinsahin","-@sunkissedlen thank you 🙌","0","1","0","06/17/2025 7:55 AM"
"18057432332205268","10615529","https://scontent-lax3-2.cdninstagram.com/v/t51.2885-19/487970286_1004040928495695_7444890495359849850_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QF5vu2P_ShPXvVREFcmwFlKq8RcCax8ES-ACc37CXKtpHgADBl465IqHy34AGVoLcw&_nc_ohc=ZJIBQEaTns4Q7kNvwFEP45N&_nc_gid=-gT0DPCtWpwvGq6zSOnjqA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfM7lPVIyXNlatBspTF-EJSCeAkEnrLAhWletz6oiqzADg&oe=68576FDD&_nc_sid=f5838a","bcanyegenoglu","What works for vocal cords? Inflammed tisseu or scar tissue on the vocal cords","0","0","1","06/17/2025 5:05 AM"
"18071556370939133","5500246573","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-19/494354429_18361806214182574_677825764932538470_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QGMcxwOA5GNq83AEMcSMerv_2FSmp9OlYrF9SQIFwYtltCyWgo63eYqISl4GUTLfWM&_nc_ohc=OaDmUGzQgb8Q7kNvwFKJxt-&_nc_gid=4MkEeyq9zKDt5FuYXOP46w&edm=AFDWGO4BAAAA&ccb=7-5&oh=00_AfOI6_UVRCv7BIMKOiqhAU80TxD82LBUWOgMc3YoVM2IcQ&oe=68577448&_nc_sid=7b9ede","ingy_8888","-@bcanyegenoglu MM tools - dig deep","0","1","0","06/17/2025 8:01 AM"
